Title	Author	Date	Tags	Author Info	Author Link	Work Title	Work Type	Work Minor Title	Work Link	Work ID	Work Pages	Work Rights	Work Rights Holder	Publisher	Publisher City	Date Added	Body	Body as HTML	Author Last Name First	Author File Name	Author Wikimedia Page	Work HTML Line	Work Rights HTML Line
Quality of Children vs. Quantity	Margaret Mead		education, parenthood, sustainability			unknown	unknown									2006-11-30 14:29:31	Instead of needing lots of children, we need high-quality children.	<p>Instead of needing lots of children, we need high-quality children.</p>	Mead, Margaret	margaret-mead	Margaret_Mead		
Never Knew Cocaine to Improve Anything	Joe Boyd	2006	art, cultural evolution			White Bicycles: Making Music in the 1960s	Book			1852429100	266	Copyright	Joe Boyd	Serpent's Tail	London	2008-11-02 07:21:09	I listened in the studio control room as musicians' modes of consciousness-alteration proceeded from grass, hash and acid to heroin and cocaine by the 1970s. All but the latter could, on occasion, provide benefits, at least to the music. I never knew cocaine to improve anything.... I suspect that the surge in cocaine's popularity explains -- at least in part -- why so many great sixties artists made such bad records in the following decade.	<p>I listened in the studio control room as musicians&rsquo; modes of consciousness-alteration proceeded from grass, hash and acid to heroin and cocaine by the 1970s. All but the latter could, on occasion, provide benefits, at least to the music. I never knew cocaine to improve anything&hellip;. I suspect that the surge in cocaine&rsquo;s popularity explains &ndash; at least in part &ndash; why so many great sixties artists made such bad records in the following decade.</p>	Boyd, Joe	joe-boyd	Joe_Boyd	the <span class='sourcetype'>Book</span> <cite class='majortitle'>White Bicycles: Making Music in the 1960s</cite>, <span class='city'>London</span>: <span class='publisher'>Serpent&apos;s Tail</span>, page&nbsp;<span class='pages'>266</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1852429100/portablewisdo-20' class='isbn'>1852429100</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Joe Boyd</span>
Discovering that I am Nobody	Josiah Royce		connection			Lecture on Hegel	unknown									2017-07-30 09:52:58	We are all aware, if we have ever tried it, how empty and ghostly is a life lived for a long while in absolute solitude. Free me from my fellows, let me alone to work out the salvation of my own glorious self, and surely (so I may fancy) I shall now for the first time show who I am. No, not so; on the contrary I merely show in such a case who I am not. I am no longer friend, brother, companion, co-worker, servant, citizen, father, son; I exist for nobody; and ere-long, perhaps to my surprise, generally to my horror, I discover that I <em>am</em> nobody. 	<p>We are all aware, if we have ever tried it, how empty and ghostly is a life lived for a long while in absolute solitude. Free me from my fellows, let me alone to work out the salvation of my own glorious self, and surely (so I may fancy) I shall now for the first time show who I am. No, not so; on the contrary I merely show in such a case who I am not. I am no longer friend, brother, companion, co-worker, servant, citizen, father, son; I exist for nobody; and ere-long, perhaps to my surprise, generally to my horror, I discover that I <em>am</em> nobody.</p>	Royce, Josiah	josiah-royce	Josiah_Royce	<cite class='majortitle'>Lecture on Hegel</cite>	
Thnk globally, act locally	Disputed	1969	connection, individuals			unknown	unknown									2016-01-05 19:40:57	Thnk globally, act locally.	<p>Thnk globally, act locally.</p>	Disputed	disputed	Disputed		
Art is a Hammer	Bertolt Brecht		art, individuals			Unknown	unknown									2006-11-30 14:29:31	Art is not a mirror held up to reality, but a hammer with which to shape it.	<p>Art is not a mirror held up to reality, but a hammer with which to shape it.</p>	Brecht, Bertolt	bertolt-brecht	Bertolt_Brecht		
Art is a lie that makes us realize truth	Pablo Picasso	1923	art			The Arts	Article	Picasso Speaks								2017-05-24 15:57:36	We all know that Art is not truth. Art is a lie that makes us realize truth, at least the truth that is given us to understand. The artist must know the manner whereby to convince others of the truthfulness of his lies. If he only shows in his work that he has searched, and re-searched, for the way to put over lies, he would never accomplish anything.	<p>We all know that Art is not truth. Art is a lie that makes us realize truth, at least the truth that is given us to understand. The artist must know the manner whereby to convince others of the truthfulness of his lies. If he only shows in his work that he has searched, and re-searched, for the way to put over lies, he would never accomplish anything.</p>	Picasso, Pablo	pablo-picasso	Pablo_Picasso	the <span class='sourcetype'>Article</span> <cite class='majortitle'>The Arts</cite>, <cite class='minortitle'>&#8220;Picasso Speaks&#8221;</cite>	
Do the Right Thing	Mark Twain		individuals			unknown	unknown									2006-11-30 14:29:31	Do the right thing. It will gratify some people and astonish the rest.	<p>Do the right thing. It will gratify some people and astonish the rest.</p>	Twain, Mark	mark-twain	Mark_Twain		
The Underlying Principle of the Problem	Steve Jobs	2000	critical thinking			Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything	Book			0140291776						2008-07-13 13:40:38	When you start looking at a problem and it seems really simple, you don't really understand the complexity of the problem. Then you get into the problem, and you see that it's really complicated, and you come up with all these convoluted solutions. That's sort of the middle, and that's where most people stop.... But the really great person will keep on going and find the key, the underlying principle of the problem -- and come up with an elegant, really beautiful solution that works. That's what we wanted to do with Mac.	<p>When you start looking at a problem and it seems really simple, you don&rsquo;t really understand the complexity of the problem. Then you get into the problem, and you see that it&rsquo;s really complicated, and you come up with all these convoluted solutions. That&rsquo;s sort of the middle, and that&rsquo;s where most people stop&hellip;. But the really great person will keep on going and find the key, the underlying principle of the problem &ndash; and come up with an elegant, really beautiful solution that works. That&rsquo;s what we wanted to do with Mac.</p>	Jobs, Steve	steve-jobs	Steve_Jobs	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0140291776/portablewisdo-20' class='isbn'>0140291776</a> 	
Learning from Experience	Peter Senge	1990	critical thinking, education			The Fifth Discipline: The Art and Practice of the Learning Organization	Book			0385260946		Copyright	Peter M. Senge.			2006-11-30 14:29:32	The most powerful learning comes from direct experience. But what happens when we can no longer observe the consequences of our actions? Herein lies the core <em>learning dilemma</em> that confronts organizations:<em> we learn best from experience but we never directly experience the consequences of many of our most important decisions.</em> The most critical decisions made in organizations have systemwide consequences that stretch over years or decades.	<p>The most powerful learning comes from direct experience. But what happens when we can no longer observe the consequences of our actions? Herein lies the core <em>learning dilemma</em> that confronts organizations:<em> we learn best from experience but we never directly experience the consequences of many of our most important decisions.</em> The most critical decisions made in organizations have systemwide consequences that stretch over years or decades.</p>	Senge, Peter	peter-senge	Peter_Senge	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Fifth Discipline: The Art and Practice of the Learning Organization</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0385260946/portablewisdo-20' class='isbn'>0385260946</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Peter M. Senge.</span>
The center of every man's existence is a dream	G. K. Chesterton	1903	humanism			Twelve Types	unknown	Sir Walter Scott								2011-04-22 06:05:01	The center of every man's existence is a dream. Death, disease, insanity, are merely material accidents, like a toothache or a twisted ankle. That these brutal forces always besiege and often capture the citadel does not prove that they are the citadel. 	<p>The center of every man&rsquo;s existence is a dream. Death, disease, insanity, are merely material accidents, like a toothache or a twisted ankle. That these brutal forces always besiege and often capture the citadel does not prove that they are the citadel.</p>	Chesterton, G. K.	g.-k.-chesterton	G._K._Chesterton	<cite class='majortitle'>Twelve Types</cite>, <cite class='minortitle'>&#8220;Sir Walter Scott&#8221;</cite>	
Most sociopolitical hierarchies lack a logical or biological basis	Yuval Noah Harari	2015	cultural evolution			Sapiens: A Brief History of Humankind	Book			0062316095		Copyright	Yuval Noah Harari	Harper Collins		2016-11-28 08:52:16	Most sociopolitical hierarchies lack a logical or biological basis -- they are nothing but the perpetuation of chance events supported by myths.	<p>Most sociopolitical hierarchies lack a logical or biological basis &ndash; they are nothing but the perpetuation of chance events supported by myths.</p>	Harari, Yuval Noah	yuval-noah-harari	Yuval_Noah_Harari	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Sapiens: A Brief History of Humankind</cite>, <span class='publisher'>Harper Collins</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062316095/portablewisdo-20' class='isbn'>0062316095</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Yuval Noah Harari</span>
Postel’s Law	Jon Postel	1981	diversity, liberty			Transmission Control Protocol Request For Comments RFC 793	unknown									2009-01-06 19:42:52	Be conservative in what you do; be liberal in what you accept from others.	<p>Be conservative in what you do; be liberal in what you accept from others.</p>	Postel, Jon	jon-postel	Jon_Postel	<cite class='majortitle'>Transmission Control Protocol Request For Comments RFC 793</cite>	
When his salary depends on his not understanding it	Upton Sinclair	1935	critical thinking			I, Candidate for Governor: And How I Got Licked	Book			0520081986						2016-11-20 11:23:35	It is difficult to get a man to understand something, when his salary depends on his not understanding it.	<p>It is difficult to get a man to understand something, when his salary depends on his not understanding it.</p>	Sinclair, Upton	upton-sinclair	Upton_Sinclair	the <span class='sourcetype'>Book</span> <cite class='majortitle'>I, Candidate for Governor: And How I Got Licked</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0520081986/portablewisdo-20' class='isbn'>0520081986</a> 	
Single Garment of Destiny	Martin Luther King Jr.	1968	connection			Remaining Awake Through A Great Revolution	Speech		http://www.stanford.edu/group/King/publications/sermons/680331.000_Remaining_Awake.html			Copyright	The Estate of Martin Luther King Jr.			2008-01-20 12:28:31	We are tied together in the single garment of destiny, caught in an inescapable network of mutuality. And whatever affects one directly affects all indirectly.	<p>We are tied together in the single garment of destiny, caught in an inescapable network of mutuality. And whatever affects one directly affects all indirectly.</p>	King Jr., Martin Luther	martin-luther-king-jr.	Martin_Luther_King_Jr.	the <span class='sourcetype'>Speech</span> <cite class='majortitle'><a href='http://www.stanford.edu/group/King/publications/sermons/680331.000_Remaining_Awake.html' rel='source'>Remaining Awake Through A Great Revolution</a></cite>	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>The Estate of Martin Luther King Jr.</span>
Occasions When the Intellect Retires Gracefully	Margery Allingham	1934	critical thinking			Dancers In Mourning	Book			1933397985		Copyright	Doubleday and Company, Inc.			2008-05-21 19:41:18	There are occasions when the intellect retires gracefully from a situation entirely behind its decorous control and leaves all the other complicated machinery of the mind to muddle through on its own.	<p>There are occasions when the intellect retires gracefully from a situation entirely behind its decorous control and leaves all the other complicated machinery of the mind to muddle through on its own.</p>	Allingham, Margery	margery-allingham	Margery_Allingham	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Doubleday and Company, Inc.</span>
A Return to These Truths	Barack Obama	2009	progress			Inaugral Address	Speech									2009-01-20 20:47:20	Our challenges may be new. The instruments with which we meet them may be new. But those values upon which our success depends -- hard work and honesty, courage and fair play, tolerance and curiosity, loyalty and patriotism -- these things are old. These things are true. They have been the quiet force of progress throughout our history. What is demanded then is a return to these truths.	<p>Our challenges may be new. The instruments with which we meet them may be new. But those values upon which our success depends &ndash; hard work and honesty, courage and fair play, tolerance and curiosity, loyalty and patriotism &ndash; these things are old. These things are true. They have been the quiet force of progress throughout our history. What is demanded then is a return to these truths.</p>	Obama, Barack	barack-obama	Barack_Obama	the <span class='sourcetype'>Speech</span> <cite class='majortitle'>Inaugral Address</cite>	
The Real Problem of Humanity	E. O. Wilson	September 10, 2009	cultural evolution, humanism			Harvard Magazine	Article	An Intellectual Entente	http://harvardmagazine.com/breaking-news/james-watson-edward-o-wilson-intellectual-entente			Copyright	Harvard Magazine Inc.			2010-10-26 19:46:43	The real problem of humanity is the following: we have paleolithic emotions; medieval institutions; and god-like technology.	<p>The real problem of humanity is the following: we have paleolithic emotions; medieval institutions; and god-like technology.</p>	Wilson, E. O.	e.-o.-wilson	E._O._Wilson	the <span class='sourcetype'>Article</span> <cite class='majortitle'>Harvard Magazine</cite>, <cite class='minortitle'>&#8220;An Intellectual Entente&#8221;</cite>	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Harvard Magazine Inc.</span>
When you can measure what you are speaking about	Lord Kelvin	3 May 1883	science			Popular Lectures	Lecture	Electrical Units of Measurement								2014-03-13 06:15:56	I often say that when you can measure what you are speaking about, and express it in numbers, you know something about it; but when you cannot express it in numbers, your knowledge is of a meagre and unsatisfactory kind; it may be the beginning of knowledge, but you have scarcely, in your thoughts, advanced to the stage of <em>science</em>, whatever the matter may be.	<p>I often say that when you can measure what you are speaking about, and express it in numbers, you know something about it; but when you cannot express it in numbers, your knowledge is of a meagre and unsatisfactory kind; it may be the beginning of knowledge, but you have scarcely, in your thoughts, advanced to the stage of <em>science</em>, whatever the matter may be.</p>	Kelvin, Lord	lord-kelvin	Lord_Kelvin	the <span class='sourcetype'>Lecture</span> <cite class='majortitle'>Popular Lectures</cite>, <cite class='minortitle'>&#8220;Electrical Units of Measurement&#8221;</cite>	
Guided missiles and misguided men	Martin Luther King Jr.	Aug 31, 1967	equality			The Three Evils	Speech		https://connectere.wordpress.com/2016/01/19/the-three-evils-address-delivered-by-martin-luther-king-8311967/							2018-04-12 15:24:32	When scientific power outruns moral power, we end up with guided missiles and misguided men. When we foolishly maximize the minimum and minimize the maximum, we sign the warrant for our own day of doom. It is this moral lag in our thing-oriented society that blinds us to the human reality around us and encourages us in the greed and the exploitation which creates the sector of poverty in the midst of wealth.	<p>When scientific power outruns moral power, we end up with guided missiles and misguided men. When we foolishly maximize the minimum and minimize the maximum, we sign the warrant for our own day of doom. It is this moral lag in our thing-oriented society that blinds us to the human reality around us and encourages us in the greed and the exploitation which creates the sector of poverty in the midst of wealth.</p>	King Jr., Martin Luther	martin-luther-king-jr.	Martin_Luther_King_Jr.	the <span class='sourcetype'>Speech</span> <cite class='majortitle'><a href='https://connectere.wordpress.com/2016/01/19/the-three-evils-address-delivered-by-martin-luther-king-8311967/' rel='source'>The Three Evils</a></cite>	
Our privileges can be no greater than our obligations	John F. Kennedy	May 18, 1963	individuals, liberty			90th Anniversary Convocation of Vanderbilt University	Speech		https://www.jfklibrary.org/Research/Research-Aids/JFK-Speeches/Vanderbilt-University_19630518.aspx							2017-03-26 13:13:49	But this Nation was not founded solely on the principle of citizens' rights. Equally important, though too often not discussed, is the citizen's responsibility. For our privileges can be no greater than our obligations. The protection of our rights can endure no longer than the performance of our responsibilities. Each can be neglected only at the peril of the other. I speak to you today, therefore, not of your rights as Americans, but of your responsibilities. They are many in number and different in nature. They do not rest with equal weight upon the shoulders of all. Equality of opportunity does not mean equality of responsibility. All Americans must be responsible citizens, but some must be more responsible than others, by virtue of their public or their private position, their role in the family or community, their prospects for the future, or their legacy from the past. Increased responsibility goes with increased ability, for "of those to whom much is given, much is required."	<p>But this Nation was not founded solely on the principle of citizens&rsquo; rights. Equally important, though too often not discussed, is the citizen&rsquo;s responsibility. For our privileges can be no greater than our obligations. The protection of our rights can endure no longer than the performance of our responsibilities. Each can be neglected only at the peril of the other. I speak to you today, therefore, not of your rights as Americans, but of your responsibilities. They are many in number and different in nature. They do not rest with equal weight upon the shoulders of all. Equality of opportunity does not mean equality of responsibility. All Americans must be responsible citizens, but some must be more responsible than others, by virtue of their public or their private position, their role in the family or community, their prospects for the future, or their legacy from the past.</p> <p>Increased responsibility goes with increased ability, for &ldquo;of those to whom much is given, much is required.&rdquo;</p>	Kennedy, John F.	john-f.-kennedy	John_F._Kennedy	the <span class='sourcetype'>Speech</span> <cite class='majortitle'><a href='https://www.jfklibrary.org/Research/Research-Aids/JFK-Speeches/Vanderbilt-University_19630518.aspx' rel='source'>90th Anniversary Convocation of Vanderbilt University</a></cite>	
